[2026-03-15 20:10:24] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-03-15 20:10:30] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-03-15 20:10:33] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-03-15 20:13:42] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-03-15 20:13:46] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-03-15 20:14:26] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:14:42] Admin ID: 1 | Ação: Eliminar Casa | Detalhes: ID: 9 | IP: ::1
[2026-03-15 20:14:42] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:18:49] Admin ID: 1 | Ação: Eliminar Casa | Detalhes: ID: 9 | IP: ::1
[2026-03-15 20:18:49] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:21:08] Admin ID: 1 | Ação: Eliminar Casa | Detalhes: ID: 9 | IP: ::1
[2026-03-15 20:21:08] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:23:08] Admin ID: 1 | Ação: Eliminar Casa | Detalhes: ID: 9 | IP: ::1
[2026-03-15 20:23:08] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:25:30] Admin ID: 1 | Ação: Eliminar Casa | Detalhes: ID: 9 | IP: ::1
[2026-03-15 20:25:30] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:27:33] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-03-15 20:27:37] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:27:39] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:28:48] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:29:21] Admin ID: 1 | Ação: Acesso à Gestão de Casas | Detalhes:  | IP: ::1
[2026-03-15 20:30:01] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-03-15 20:30:13] Admin ID: 1 | Ação: Banir Utilizador | Detalhes: ID: 2 | IP: ::1
[2026-03-15 20:30:13] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-03-15 20:35:49] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-03-15 20:35:58] Admin ID: 1 | Ação: Acesso ao Dashboard | Detalhes: Visualização do painel administrativo | IP: ::1
[2026-03-15 20:36:01] Admin ID: 1 | Ação: Acesso às Verificações Pendentes | Detalhes:  | IP: ::1
[2026-03-15 20:37:20] Admin ID: 1 | Ação: Acesso às Verificações Pendentes | Detalhes:  | IP: ::1
[2026-03-15 20:37:37] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-03-15 20:39:28] Admin ID: 1 | Ação: Acesso aos Logs | Detalhes:  | IP: ::1
[2026-03-15 20:39:38] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-03-15 20:41:08] Admin ID: 1 | Ação: Atualizar Configurações | Detalhes: Email | IP: ::1
[2026-03-15 20:41:08] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-03-15 20:41:15] Admin ID: 1 | Ação: Atualizar Configurações | Detalhes: Email | IP: ::1
[2026-03-15 20:41:15] Admin ID: 1 | Ação: Acesso às Configurações | Detalhes:  | IP: ::1
[2026-03-15 20:41:40] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-03-15 20:41:43] Admin ID: 1 | Ação: Desbanir Utilizador | Detalhes: ID: 2 | IP: ::1
[2026-03-15 20:41:43] Admin ID: 1 | Ação: Acesso à Gestão de Utilizadores | Detalhes:  | IP: ::1
[2026-03-15 20:42:53] Admin ID: 1 | Ação: Desbanir Utilizador | Detalhes: ID: 2 | IP: ::1
