[HOJE] 2026-02-06T22:29:33.605139 temp=8.7 hum=96 wind=8.3
[PREVISAO] 2026-02-06T22:34:52.377654 date=2026-02-06 hum_count=24 hum_media=87.2
[PREVISAO] 2026-02-06T22:34:52.378342 date=2026-02-07 hum_count=24 hum_media=90.3
[PREVISAO] 2026-02-06T22:34:52.379106 date=2026-02-08 hum_count=24 hum_media=88.0
[PREVISAO] 2026-02-06T22:34:52.379601 date=2026-02-09 hum_count=24 hum_media=90.7
[PREVISAO] 2026-02-06T22:34:52.380126 date=2026-02-10 hum_count=24 hum_media=93.8
[PREVISAO] 2026-02-06T22:34:52.380618 date=2026-02-11 hum_count=24 hum_media=89.1
[PREVISAO] 2026-02-06T22:34:52.381111 date=2026-02-12 hum_count=24 hum_media=92.4
[PREVISAO] 2026-02-06T22:34:52.399456 date=2026-02-13 hum_count=24 hum_media=82.1
[PREVISAO] 2026-02-06T22:34:52.400030 date=2026-02-14 hum_count=24 hum_media=84.8
[PREVISAO] 2026-02-06T22:34:52.400390 date=2026-02-15 hum_count=24 hum_media=75.5
[PREVISAO] 2026-02-06T22:34:52.400776 date=2026-02-16 hum_count=24 hum_media=77.0
[PREVISAO] 2026-02-06T22:34:52.401187 date=2026-02-17 hum_count=24 hum_media=83.3
[PREVISAO] 2026-02-06T22:34:52.401555 date=2026-02-18 hum_count=24 hum_media=93.9
[PREVISAO] 2026-02-06T22:34:52.401913 date=2026-02-19 hum_count=24 hum_media=81.4
[PREVISAO] 2026-02-06T22:34:52.402272 date=2026-02-20 hum_count=24 hum_media=76.5
[PREVISAO] 2026-02-06T22:34:52.402636 date=2026-02-21 hum_count=24 hum_media=80.5
